"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,2527.994098925292,11840.182336231283,145.9972361408558,3423.304746719632,307.13941584027515,28.582593918134368,421.8688918326719,7.804810054196623
1.0,3197.6816371266095,15004.689742904815,172.38565852007972,1937.9030401749073,322.62749384306403,23.444475556550604,290.7776845717937,15.082882622277603
1.0,4022.2444610103826,13766.183427644406,174.83639201320995,2614.938496003373,389.4065745408517,30.458421020970853,401.8357643810819,14.705832236723383
1.0,4356.9754264219555,8286.691244557633,121.10028262424404,1736.061134668486,313.52908448605,25.395979938386038,340.065674972516,9.355393500004963
1.0,4436.946060385941,12936.763667806174,106.66564890862533,942.6291202246932,413.51618172124597,45.79940166514796,821.7139606245025,22.119788475495394
1.0,4731.367441062312,14528.84055870688,117.08257531400972,1543.0871129999955,520.5899800914107,57.5862418093004,1080.0663104417745,20.39043201205561
1.0,4803.923353285389,9919.913505992177,142.15440739575047,2276.1420083137796,390.91139834033595,46.99859093670189,925.6831352403648,16.80891739130123
1.0,5866.482662036833,7097.613544796587,149.45951453292705,2183.3634775906735,456.4682201722479,58.85098219005095,1166.0978281828563,23.89942684314087
1.0,5899.065665229426,11840.581558933909,135.0564809507468,1266.4556380439515,349.2897882151128,29.1565101389324,418.86919873523937,17.247144015486988
1.0,5813.1510136933475,15647.020553556546,189.81103247956682,3176.897142646162,396.5710379370429,35.39576916630755,498.9898776121455,16.358730288614343
1.0,6333.750707793549,16413.21194842193,163.80313013964232,1672.0423489656146,414.45607034780454,44.37939694059902,787.2156888967907,28.327989726568678
1.0,7030.378716971412,16763.353966581562,188.96887299555334,2587.1186864979854,371.87257214969327,43.76188944604128,855.5851374813348,24.119455172874847
1.0,7184.062644426974,8793.810321252737,126.90783045257017,1349.1354633904652,339.06553468410715,24.66138219111357,321.27295122936187,12.506356644952312
1.0,7486.97770721949,9959.072867060178,160.3095814946564,1869.1314278378009,306.705946571274,35.10678871991935,633.603764014031,19.53879464117908
1.0,8011.15442545523,16529.91802111488,141.8627159735601,1332.9682566646625,372.0800674881895,34.9659004555783,573.9691403235288,21.30962574109724
1.0,8400.19912552173,8647.701897253526,169.7593884665086,3600.559702585417,448.4624153631009,93.7483750332592,2982.3249449347445,29.507308197349417
1.0,8810.19951235351,2665.0369299946865,135.51212530299796,1765.3859739674315,336.3692515443392,37.15040607901462,683.1488605515724,15.753638814132568
1.0,8878.479382472717,13766.626809439595,143.75571517571487,1809.4614250154746,318.5701574232744,24.504830694986047,311.76807040880954,11.935308830229745
1.0,8773.364765892617,15493.698115072239,196.39428978559118,3952.7227836528555,347.92345793889467,26.151312327988823,292.6234853104961,10.893727866013005
1.0,9267.441198473074,7880.944618867559,127.71163143929232,1368.590900658272,403.19481974547045,32.53286047459542,451.3654184266487,15.90381501482194
1.0,9604.910934063892,10159.386498828077,190.13697704327066,5340.660375422983,402.41568663232374,33.29317622017918,402.1006979412193,9.53226575451574
1.0,9677.9096063411,9132.668933849649,129.35832354133535,3004.328324435379,412.4657118675592,40.52298985206185,655.8447060722496,9.428526951914597
1.0,9865.86348698256,5775.122063921591,143.141745920933,2377.817677779114,560.364100203556,30.8569194869913,287.75082579893046,11.184310402527075
1.0,10297.823942005993,9381.780822953026,163.17650904084667,1889.272482214921,448.5300598403623,33.8209607629285,438.3755718292294,19.330316908841407
1.0,10588.958280222118,13923.172637575766,148.53266711340456,3116.8394095726912,309.59719821915616,28.494877925192032,419.51843192421745,8.73650448412599
1.0,11165.303316999065,8481.914445612909,126.09340221545106,1151.168757013052,423.81105642653637,33.05711942164135,449.6603431253437,18.57756813311513
1.0,11468.744264211638,3579.9809812340927,126.69544119059935,1569.085071540526,441.4252998131248,44.43680479156554,707.781765820161,18.300239476645594
1.0,11796.970792311497,6698.630204022678,160.6324903087513,2031.119959836574,481.57496103893584,27.507823372171618,263.28548859887445,14.538894448570668
1.0,11863.39616841071,8575.96908197054,157.5346678933692,2031.4846735584326,390.1575183816039,27.839764560725023,336.10605667790537,14.163959665069143
1.0,12074.57491448817,12204.293501191401,126.88202032239025,1859.48236149111,402.41598097006914,41.14290645914067,667.6119473908034,14.511503058003264
1.0,12212.52816164701,5834.028953425467,167.3443790245303,3880.245631989472,490.74492697012084,38.222007815706746,465.63335982384893,11.41275939290805
1.0,12310.04923765792,12771.455709620328,195.0925983669921,4323.181526889664,395.1141374082705,49.25447601858812,894.2545329558313,17.413960227720118
1.0,12489.077662749352,13870.814880187316,196.55602148313454,2677.3164955059597,262.8123673222081,32.70572735229681,653.4059422303336,19.16623634439344
1.0,12624.68517411153,3693.371264199344,164.96406070454879,2030.8015832632248,409.5208946516302,53.736056892658375,1170.3811573263206,28.53471621211507
1.0,13069.950837477587,8177.478800788063,125.49116456739382,1565.9568269070253,380.35575745893124,31.911354651348628,450.24416981965754,13.313942753831922
1.0,13453.331020907863,13635.768484308303,162.95928523830372,1848.9102393872977,272.77464210186344,27.69200079738173,458.98185061386596,16.41670744496705
1.0,13859.3724659564,3780.033303212093,150.12365120190063,3092.2556246412273,372.41841267986473,30.381499397190783,419.48679798169354,9.456130108601169
1.0,14297.888139674365,12345.910214585638,145.68731500826132,2468.970397477039,305.9650987965981,29.304927516397147,441.9234188533584,10.679454045022384
1.0,14444.309322424748,10654.645220620134,135.28794120620054,1794.4672340443344,255.0929461117153,20.174905661946777,261.21646796716715,9.242189914978239
1.0,14589.739688211683,7605.3568392105135,145.22223333776006,1975.6977915402463,390.0968328917552,54.936822754884446,1223.7883561126953,23.320466779341647
1.0,14710.222948627848,11690.179978773727,173.1720276028427,2443.889314307337,280.0261821993558,28.915957556100714,451.2430581588392,14.701643777118376
2.0,1744.199236747667,11104.716108317958,168.32318876420823,2587.393907421238,260.11199898699084,37.217224180434194,835.0597745316836,16.566416509688352
2.0,2132.2290569893157,13791.289527977624,111.28471592899243,982.7719031002828,351.37569146800075,30.932456482846426,487.01726235754205,16.035844097991156
2.0,2517.4089306720634,11883.728932771823,133.98979226369494,2874.872594126325,310.56618735519424,32.240422891305656,533.8210607337478,8.63007708730008
2.0,2687.2957390420966,13422.288613159923,135.97509603355633,1220.2980082483268,352.53617814969476,29.89849015536713,430.3359708772504,18.51516260828658
2.0,4314.173046345507,6975.302606973224,153.65312747338095,4841.749382428356,355.09245453953594,67.42044365627963,1874.4959271304215,13.192084505518414
2.0,4371.304163802359,8256.828283763387,146.5209152503037,2880.554058048654,292.2415475086015,29.00069614498953,450.27431602193354,9.288086735284583
2.0,4741.727386832208,15190.853226992262,138.33498746151272,3082.8402912761953,515.1784941019209,45.96954578292938,693.3286903514978,11.679661421528778
2.0,4805.145945833761,9858.136178068342,196.42303082075745,2938.741944805055,362.732133819035,43.44239089195055,789.7890979585851,22.810227669215628
2.0,6464.342790151769,16392.518186558133,128.2713775064177,1558.8340981694673,406.8717814903522,47.063147103378135,870.5381527349011,19.910292910125456
2.0,7052.107090502489,3719.148999796377,167.94655339738722,2598.2342469370446,313.2131107699908,36.62101989032364,670.680032493637,16.188119974488895
2.0,8725.689549670826,2658.905685144355,151.52439591634513,3494.4877091206436,301.9031521937892,38.78689410457197,801.0530510344521,10.586607793301464
2.0,8723.363686471603,15517.809977099258,184.94316038821543,3306.9565296959972,363.378134850115,30.42351339023666,392.28890309081163,13.089982317365488
2.0,8829.902142432918,13736.131313795293,137.21464785334194,1396.0643736870688,328.490774176732,25.203499022116777,351.1587104381525,14.25717172390092
2.0,9231.949619455518,7873.5437523006785,137.3123032510301,2034.754751138781,395.3122068937159,35.115439601126454,554.4128180437058,13.411390513267756
2.0,9643.258207547738,9118.80676705321,164.1129989207238,3651.0139131853025,379.654739814581,35.204261922039386,513.0812224387718,10.838145672578651
2.0,9565.36818693854,10116.060341285676,159.32558403100575,3771.574087587597,420.63904569067824,30.412608002648213,353.6719503976392,8.797845475395624
2.0,9869.84134680746,5804.717537259187,156.34779698237608,2436.688474489795,519.13375220832,30.565235431428814,319.3560779422532,12.778548300603738
2.0,10625.738219326688,13931.860439624057,180.56942225368783,3144.1620445006297,283.59755915151123,26.48691717543794,381.25793522304883,11.647091585795119
2.0,10999.233403490794,10535.432539535026,118.32853394434566,1118.676279608909,413.55664710332104,38.65798769338837,603.922548654726,19.531947178200156
2.0,11165.754676627288,8546.087325322544,170.13413374124934,1770.8969420237574,404.4987573287589,36.09671565865202,546.9038403213748,23.699547687802422
